Mt,Mh_calc,Stability,S_approx
166.05,118.515,1,-1.0
166.05,118.564,1,-1.0
166.05,118.614,1,-1.0
166.05,118.663,1,-1.0
166.05,118.713,1,-1.0
166.05,118.762,1,-1.0
166.05,118.812,1,-1.0
166.05,118.862,1,-1.0
166.05,118.911,1,-1.0
166.05,118.961,1,-1.0
166.05,119.01,1,-1.0
166.05,119.06,1,-1.0
166.05,119.109,1,-1.0
166.05,119.159,1,-1.0
166.05,119.209,1,-1.0
166.05,119.258,1,-1.0
166.05,119.308,1,-1.0
166.05,119.357,1,-1.0
166.05,119.407,1,-1.0
166.05,119.456,1,-1.0
166.05,119.506,1,-1.0
166.05,119.556,1,-1.0
166.05,119.605,1,-1.0
166.05,119.655,1,-1.0
166.05,119.704,1,-1.0
166.05,119.754,1,-1.0
166.05,119.804,1,-1.0
166.05,119.853,1,-1.0
166.05,119.903,1,-1.0
166.05,119.952,1,-1.0
166.05,120.002,1,-1.0
166.05,120.051,1,-1.0
166.05,120.101,1,-1.0
166.05,120.151,1,-1.0
166.05,120.2,1,-1.0
166.05,120.25,1,-1.0
166.05,120.299,1,-1.0
166.05,120.349,1,-1.0
166.05,120.399,1,-1.0
166.05,120.448,1,-1.0
166.05,120.498,1,-1.0
166.05,120.547,1,-1.0
166.05,120.597,1,-1.0
166.05,120.646,1,-1.0
166.05,120.696,1,-1.0
166.05,120.746,1,-1.0
166.05,120.795,1,-1.0
166.05,120.845,1,-1.0
166.05,120.894,1,-1.0
166.05,120.944,1,-1.0
166.05,120.994,1,-1.0
166.05,121.043,1,-1.0
166.05,121.093,1,-1.0
166.05,121.142,1,-1.0
166.05,121.192,1,-1.0
166.05,121.242,1,-1.0
166.05,121.291,1,-1.0
166.05,121.341,1,-1.0
166.05,121.39,1,-1.0
166.05,121.44,1,-1.0
166.05,121.49,1,-1.0
166.05,121.539,1,-1.0
166.05,121.589,1,-1.0
166.05,121.638,1,-1.0
166.05,121.688,1,-1.0
166.05,121.737,1,-1.0
166.05,121.787,1,-1.0
166.05,121.837,1,-1.0
166.05,121.886,1,-1.0
166.05,121.936,1,-1.0
166.05,121.985,1,-1.0
166.05,122.035,1,-1.0
166.05,122.085,1,-1.0
166.05,122.134,1,-1.0
166.05,122.184,1,-1.0
166.05,122.233,1,-1.0
166.05,122.283,1,-1.0
166.05,122.333,1,-1.0
166.05,122.382,1,-1.0
166.05,122.432,1,-1.0
166.05,122.481,1,-1.0
166.05,122.531,1,-1.0
166.05,122.581,1,-1.0
166.05,122.63,1,-1.0
166.05,122.68,1,-1.0
166.05,122.729,1,-1.0
166.05,122.779,1,-1.0
166.05,122.829,1,-1.0
166.05,122.878,1,-1.0
166.05,122.928,1,-1.0
166.05,122.977,1,-1.0
