step,r,phi,dphi,dV,dr,truncation_error,friction
82,0.00674326,4369.53,-726124,-1.85304e+008,6.01762e-005,2.56509e-007,-3.23044e+008
83,0.00680344,4326.09,-717871,-1.80002e+008,6.02627e-005,1.95119e-007,-3.16548e+008
84,0.0068637,4283.07,-709679,-1.74851e+008,6.03523e-005,7.6182,-3.10188e+008
85,0.00692405,4240.49,-701540,-1.68332e+008,6.04454e-005,4.7864e-008,-3.03958e+008
86,0.0069845,4198.33,-693382,-1.63508e+008,6.05486e-005,1.05727e-007,-2.97823e+008
87,0.00704505,4156.59,-685289,-1.58822e+008,6.06546e-005,1.62117e-007,-2.91817e+008
88,0.0071057,4115.27,-677262,-1.5427e+008,6.07633e-005,2.17153e-007,-2.85938e+008
89,0.00716646,4074.36,-669302,-1.49848e+008,6.08747e-005,6.71035,-2.80181e+008
90,0.00722734,4033.86,-661402,-1.4423e+008,6.09895e-005,3.88658e-007,-2.74542e+008
91,0.00728833,3993.76,-653498,-1.4009e+008,6.11136e-005,4.39515e-007,-2.68991e+008
92,0.00734944,3954.06,-645663,-1.36068e+008,6.12403e-005,4.8866e-007,-2.63556e+008
93,0.00741068,3914.76,-637899,-1.32162e+008,6.13696e-005,5.36091e-007,-2.58235e+008
94,0.00747205,3875.85,-630206,-1.28368e+008,6.15013e-005,5.92067,-2.53025e+008
95,0.00753355,3837.33,-622577,-1.23527e+008,6.16362e-005,7.01238e-007,-2.47922e+008
96,0.00759519,3799.19,-614955,-1.19975e+008,6.17799e-005,7.4307e-007,-2.42899e+008
97,0.00765697,3761.43,-607406,-1.16525e+008,6.19261e-005,7.83184e-007,-2.37982e+008
98,0.0077189,3724.05,-599930,-1.13174e+008,6.20747e-005,8.21461e-007,-2.33167e+008
99,0.00778097,3687.04,-592527,-1.0992e+008,6.22256e-005,5.23195,-2.28452e+008
100,0.0078432,3650.39,-585191,-1.0575e+008,6.23795e-005,9.72268e-007,-2.23834e+008
101,0.00790558,3614.12,-577872,-1.02704e+008,6.25419e-005,1.00481e-006,-2.1929e+008
102,0.00796812,3578.21,-570627,-9.9745e+007,6.27066e-005,1.03551e-006,-2.14841e+008
103,0.00803082,3542.65,-563456,-9.68717e+007,6.28735e-005,1.06449e-006,-2.10485e+008
104,0.0080937,3507.45,-556359,-9.40811e+007,6.30428e-005,4.62985,-2.0622e+008
105,0.00815674,3472.59,-549332,-9.04897e+007,6.32149e-005,1.19765e-006,-2.02041e+008
106,0.00821996,3438.09,-542327,-8.78783e+007,6.33951e-005,1.22111e-006,-1.97931e+008
107,0.00828335,3403.93,-535398,-8.53423e+007,6.35776e-005,1.2432e-006,-1.93906e+008
108,0.00834693,3370.11,-528543,-8.28794e+007,6.37623e-005,1.26384e-006,-1.89965e+008
109,0.00841069,3336.62,-521761,-8.04877e+007,6.39492e-005,4.10234,-1.86107e+008
110,0.00847464,3303.47,-515050,-7.73951e+007,6.41389e-005,1.37814e-006,-1.82326e+008
111,0.00853878,3270.65,-508367,-7.51575e+007,6.43364e-005,1.39367e-006,-1.78609e+008
112,0.00860311,3238.16,-501759,-7.29845e+007,6.45362e-005,1.40781e-006,-1.74969e+008
113,0.00866765,3205.99,-495224,-7.08744e+007,6.47381e-005,1.42081e-006,-1.71404e+008
114,0.00873239,3174.14,-488763,-6.88253e+007,6.49423e-005,3.6393,-1.67914e+008
115,0.00879733,3142.6,-482371,-6.61629e+007,6.51492e-005,1.51714e-006,-1.64494e+008
116,0.00886248,3111.39,-476011,-6.42464e+007,6.53637e-005,1.5256e-006,-1.61133e+008
117,0.00892784,3080.48,-469726,-6.23853e+007,6.55804e-005,1.53307e-006,-1.57841e+008
118,0.00899342,3049.88,-463512,-6.05782e+007,6.57993e-005,1.53963e-006,-1.54617e+008
119,0.00905922,3019.58,-457371,-5.88234e+007,6.60205e-005,3.23214,-1.5146e+008
120,0.00912524,2989.59,-451297,-5.6532e+007,6.62443e-005,1.61913e-006,-1.48368e+008
121,0.00919149,2959.89,-445260,-5.48911e+007,6.64755e-005,1.62189e-006,-1.45328e+008
122,0.00925796,2930.49,-439294,-5.32979e+007,6.6709e-005,1.62367e-006,-1.42351e+008
123,0.00932467,2901.38,-433400,-5.1751e+007,6.69448e-005,1.62476e-006,-1.39436e+008
124,0.00939162,2872.57,-427575,-5.02489e+007,6.71827e-005,2.87355,-1.36582e+008
125,0.0094588,2844.03,-421817,-4.82772e+007,6.74234e-005,1.68934e-006,-1.33786e+008
126,0.00952622,2815.79,-416097,-4.68731e+007,6.76714e-005,1.6872e-006,-1.31037e+008
127,0.0095939,2787.82,-410447,-4.55099e+007,6.79216e-005,1.68444e-006,-1.28346e+008
128,0.00966182,2760.13,-404865,-4.41862e+007,6.81741e-005,1.68099e-006,-1.25711e+008
129,0.00972999,2732.72,-399351,-4.29011e+007,6.84289e-005,2.55728,-1.2313e+008
130,0.00979842,2705.58,-393903,-4.12049e+007,6.86865e-005,1.73248e-006,-1.20602e+008
131,0.00986711,2678.71,-388493,-4.0004e+007,6.89512e-005,1.7265e-006,-1.18118e+008
132,0.00993606,2652.11,-383151,-3.8838e+007,6.92183e-005,1.71994e-006,-1.15685e+008
133,0.0100053,2625.77,-377875,-3.77061e+007,6.94877e-005,1.71299e-006,-1.13303e+008
134,0.0100748,2599.69,-372665,-3.66071e+007,6.97595e-005,2.27796,-1.1097e+008
135,0.0101445,2573.88,-367518,-3.51483e+007,7.0034e-005,1.75301e-006,-1.08685e+008
