r,phi,dphi,V,dV
4.675295e-002,1.287681e-005,-2.327748e+003,5.762824e-022,1.695436e-016
4.675295e-002,1.164556e-005,-2.327748e+003,3.855166e-022,1.254115e-016
4.675295e-002,1.053204e-005,-2.327748e+003,2.578997e-022,9.276691e-017
4.675295e-002,9.524984e-006,-2.327748e+003,1.725276e-022,6.861972e-017
4.675295e-002,8.614225e-006,-2.327748e+003,1.154161e-022,5.075803e-017
4.675295e-002,7.790550e-006,-2.327748e+003,7.721013e-023,3.754573e-017
4.675295e-002,7.045634e-006,-2.327748e+003,5.165139e-023,2.777259e-017
4.675295e-002,6.371945e-006,-2.327748e+003,3.455332e-023,2.054340e-017
4.675295e-002,5.762673e-006,-2.327748e+003,2.311520e-023,1.519596e-017
4.675295e-002,5.211658e-006,-2.327748e+003,1.546341e-023,1.124046e-017
4.675295e-002,4.713330e-006,-2.327748e+003,1.034459e-023,8.314570e-018
4.675295e-002,4.262651e-006,-2.327748e+003,6.920237e-024,6.150291e-018
4.675295e-002,3.855066e-006,-2.327748e+003,4.629443e-024,4.549372e-018
4.675295e-002,3.486452e-006,-2.327748e+003,3.096967e-024,3.365172e-018
4.675295e-002,3.153085e-006,-2.327748e+003,2.071783e-024,2.489219e-018
4.675295e-002,2.851593e-006,-2.327748e+003,1.385965e-024,1.841276e-018
4.675295e-002,2.578930e-006,-2.327748e+003,9.271711e-025,1.361993e-018
4.675295e-002,2.332338e-006,-2.327748e+003,6.202513e-025,1.007467e-018
4.675295e-002,2.109325e-006,-2.327747e+003,4.149306e-025,7.452234e-019
4.675295e-002,1.907635e-006,-2.327747e+003,2.775769e-025,5.512420e-019
4.675295e-002,1.725231e-006,-2.327747e+003,1.856911e-025,4.077539e-019
4.675295e-002,1.560268e-006,-2.327747e+003,1.242221e-025,3.016157e-019
4.675295e-002,1.411079e-006,-2.327747e+003,8.310107e-026,2.231053e-019
4.675295e-002,1.276154e-006,-2.327747e+003,5.559227e-026,1.650311e-019
4.675295e-002,1.154131e-006,-2.327747e+003,3.718966e-026,1.220735e-019
4.675295e-002,1.043775e-006,-2.327747e+003,2.487883e-026,9.029784e-020
4.675295e-002,9.439718e-007,-2.327747e+003,1.664323e-026,6.679335e-020
4.675295e-002,8.537112e-007,-2.327747e+003,1.113385e-026,4.940706e-020
4.675295e-002,7.720811e-007,-2.327747e+003,7.448234e-027,3.654642e-020
4.675295e-002,6.982563e-007,-2.327747e+003,4.982658e-027,2.703340e-020
4.675295e-002,6.314905e-007,-2.327747e+003,3.333258e-027,1.999662e-020
4.675295e-002,5.711086e-007,-2.327747e+003,2.229855e-027,1.479151e-020
4.675295e-002,5.165004e-007,-2.327747e+003,1.491710e-027,1.094128e-020
4.675295e-002,4.671137e-007,-2.327747e+003,9.979119e-028,8.093271e-021
4.675295e-002,4.224493e-007,-2.327747e+003,6.675749e-028,5.986595e-021
4.675295e-002,3.820556e-007,-2.327747e+003,4.465888e-028,4.428287e-021
4.675295e-002,3.455242e-007,-2.327747e+003,2.987553e-028,3.275605e-021
4.675295e-002,3.124859e-007,-2.327747e+003,1.998588e-028,2.422967e-021
4.675295e-002,2.826066e-007,-2.327747e+003,1.336999e-028,1.792269e-021
4.675295e-002,2.555844e-007,-2.327747e+003,8.944147e-029,1.325742e-021
4.675295e-002,2.311459e-007,-2.327747e+003,5.983382e-029,9.806520e-022
4.675295e-002,2.078685e-007,-2.327747e+003,3.913416e-029,7.132174e-022
4.675295e-002,1.845910e-007,-2.327747e+003,2.433569e-029,4.994449e-022
4.675295e-002,1.613135e-007,-2.327747e+003,1.419334e-029,3.333254e-022
4.675295e-002,1.380360e-007,-2.327747e+003,7.609771e-030,2.088496e-022
4.675295e-002,1.147586e-007,-2.327747e+003,3.635315e-030,1.200084e-022
4.675295e-002,9.148109e-008,-2.327747e+003,1.468003e-030,6.079252e-023
4.675295e-002,6.820361e-008,-2.327747e+003,4.535564e-031,2.519291e-023
4.675295e-002,4.492614e-008,-2.327747e+003,8.538826e-032,7.200348e-024
4.675295e-002,2.164867e-008,-2.327747e+003,4.603905e-033,8.056560e-025
4.675295e-002,-1.628807e-009,-2.327747e+003,0.000000e+000,0.000000e+000
