phi,V_solver,dV_solver,d2V_solver,V_full,dV_full,d2V_full
1.310086586257e+002,1.619965382329e+005,3.277247716267e+003,2.966800137089e+001,5.472610926474e+004,1.639639483446e+003,1.716800137089e+001
1.315224832192e+002,1.636845031823e+005,3.292934516108e+003,2.946869475883e+001,5.557098073134e+004,1.648903475867e+003,1.696869475883e+001
1.320383230667e+002,1.653871695505e+005,3.308581860787e+003,2.926532673023e+001,5.642392731138e+004,1.658102822454e+003,1.676532673023e+001
1.325561860720e+002,1.671046055624e+005,3.324187101638e+003,2.905785129886e+001,5.728496515021e+004,1.667234775738e+003,1.655785129886e+001
1.330760801701e+002,1.688368802190e+005,3.339747592332e+003,2.884695907006e+001,5.815411075996e+004,1.676296590205e+003,1.634695907006e+001
1.335980133272e+002,1.705840597927e+005,3.355260590069e+003,2.863113565434e+001,5.903137751158e+004,1.685285423478e+003,1.613113565434e+001
1.341219935405e+002,1.723462066191e+005,3.370723223235e+003,2.841106432048e+001,5.991677442360e+004,1.694198303978e+003,1.591106432048e+001
1.346480288388e+002,1.741233839688e+005,3.386132629010e+003,2.818669731564e+001,6.081031103022e+004,1.703032268525e+003,1.568669731564e+001
1.351761272821e+002,1.759156537445e+005,3.401485888923e+003,2.795798643896e+001,6.171199507572e+004,1.711784297896e+003,1.545798643896e+001
1.357062969624e+002,1.777230764276e+005,3.416780027989e+003,2.772488303109e+001,6.262183245732e+004,1.720451315959e+003,1.522488303109e+001
1.362385460031e+002,1.795457138622e+005,3.432012091929e+003,2.748810011914e+001,6.353983000572e+004,1.729030266890e+003,1.498810011914e+001
1.367728825596e+002,1.813836225320e+005,3.447178962098e+003,2.724607055797e+001,6.446598875916e+004,1.737517930103e+003,1.474607055797e+001
1.373093148193e+002,1.832368565973e+005,3.462277441087e+003,2.699949976563e+001,6.540030699641e+004,1.745911005846e+003,1.449949976563e+001
1.378478510016e+002,1.851054702921e+005,3.477304318996e+003,2.674833721602e+001,6.634278263102e+004,1.754206181476e+003,1.424833721602e+001
1.383884993584e+002,1.869895161403e+005,3.492256324898e+003,2.649253190548e+001,6.729341142356e+004,1.762400082918e+003,1.399253190548e+001
1.389312681737e+002,1.888890448934e+005,3.507130125901e+003,2.623203235195e+001,6.825218691620e+004,1.770489273731e+003,1.373203235195e+001
1.394761657640e+002,1.908041093453e+005,3.521922430424e+003,2.596757476791e+001,6.921910424389e+004,1.778470358374e+003,1.346757476791e+001
1.400232004786e+002,1.927347538616e+005,3.536629706622e+003,2.569753731979e+001,7.019414965999e+004,1.786339700640e+003,1.319753731979e+001
1.405723806994e+002,1.946810224034e+005,3.551248400561e+003,2.542264830964e+001,7.117730855656e+004,1.794093641819e+003,1.292264830964e+001
