phi,V,dV_dphi,lambda_eff,beta_lambda
1.348226687522e+002,1.747151794291e+005,4.222627013590e+003,2.115139188220e-003,-7.842094578860e-004
1.354984701917e+002,1.770135984470e+005,4.253095364172e+003,2.100530801609e-003,-7.818030616028e-004
1.361776590999e+002,1.793368008556e+005,4.283607982684e+003,2.085959884119e-003,-7.794020715104e-004
1.368602524567e+002,1.816849073107e+005,4.314160367317e+003,2.071426347238e-003,-7.770064725525e-004
1.375462673270e+002,1.840580342537e+005,4.344747884468e+003,2.056930102714e-003,-7.746162497250e-004
1.382357208611e+002,1.864562937100e+005,4.375365765972e+003,2.042471062557e-003,-7.722313880759e-004
1.389286302954e+002,1.888797930817e+005,4.406009106283e+003,2.028049139036e-003,-7.698518727051e-004
1.396250129528e+002,1.913286349346e+005,4.436672859600e+003,2.013664244679e-003,-7.674776887642e-004
1.403248862427e+002,1.938029167777e+005,4.467351836943e+003,1.999316292271e-003,-7.651088214560e-004
1.410282676621e+002,1.963027308375e+005,4.498040703172e+003,1.985005194855e-003,-7.627452560347e-004
1.417351747955e+002,1.988281638243e+005,4.528733973958e+003,1.970730865729e-003,-7.603869778056e-004
1.424456253157e+002,2.013792966925e+005,4.559426012688e+003,1.956493218445e-003,-7.580339721246e-004
1.431596369839e+002,2.039562043933e+005,4.590111027321e+003,1.942292166813e-003,-7.556862243982e-004
1.438772276505e+002,2.065589556204e+005,4.620783067186e+003,1.928127624891e-003,-7.533437200834e-004
1.445984152553e+002,2.091876125483e+005,4.651436019716e+003,1.913999506993e-003,-7.510064446872e-004
1.453232178280e+002,2.118422305625e+005,4.682063607127e+003,1.899907727683e-003,-7.486743837666e-004
1.460516534887e+002,2.145228579828e+005,4.712659383038e+003,1.885852201774e-003,-7.463475229285e-004
1.467837404484e+002,2.172295357772e+005,4.743216729022e+003,1.871832844330e-003,-7.440258478290e-004
1.475194970092e+002,2.199622972691e+005,4.773728851103e+003,1.857849570665e-003,-7.417093441739e-004
1.482589415651e+002,2.227211678348e+005,4.804188776180e+003,1.843902296337e-003,-7.393979977179e-004
1.490020926023e+002,2.255061645933e+005,4.834589348396e+003,1.829990937153e-003,-7.370917942646e-004
1.497489686996e+002,2.283172960864e+005,4.864923225432e+003,1.816115409167e-003,-7.347907196665e-004
1.504995885288e+002,2.311545619500e+005,4.895182874739e+003,1.802275628676e-003,-7.324947598244e-004
1.512539708557e+002,2.340179525767e+005,4.925360569701e+003,1.788471512221e-003,-7.302039006876e-004
